mean,m_sd,no_lost_events,l_sd,no_events_expected,trace_size,t_sd,output,overflow,num_subbuf,total_buf_size,no_thread,sample_size,delay,no_repetitions
200897.50,43.34,0,0,262148,5416,0,splice,discard,4,256,2,131072,75989,8
2698.38,7.40,212281,4,262148,1048,0,splice,discard,4,512,2,131072,704,8
20823.75,8.08,86647,104,262148,3632,3,splice,discard,4,512,2,131072,7548,8
200853.75,71.10,0,0,262148,5408,0,splice,discard,4,512,2,131072,75989,8
2748.81,5.88,162344,4,262148,2072,0,splice,discard,4,1024,2,131072,704,8
20905.62,5.78,232,146,262148,5402,4,splice,discard,4,1024,2,131072,7548,8
200863.75,41.04,0,0,262148,5408,0,splice,discard,4,1024,2,131072,75989,8
2706.01,8.15,219838,1967,262148,910,40,splice,discard,8,64,2,131072,704,8
20682.25,9.54,233966,271,262148,614,6,splice,discard,8,64,2,131072,7548,8
200881.25,45.18,59325,108,262148,4276,3,splice,discard,8,64,2,131072,75989,8
2704.90,24.22,216099,20112,262148,980,417,splice,discard,8,128,2,131072,704,8
20707.25,6.34,212630,545,262148,1052,11,splice,discard,8,128,2,131072,7548,8
200915.00,35.05,0,0,262148,5464,0,splice,discard,8,128,2,131072,75989,8
2689.01,8.81,227418,1361,262148,740,28,splice,discard,8,256,2,131072,704,8
20749.75,4.03,168878,62,262148,1952,1,splice,discard,8,256,2,131072,7548,8
200918.75,51.39,0,0,262148,5432,0,splice,discard,8,256,2,131072,75989,8
2705.12,8.75,204761,3836,262148,1205,76,splice,discard,8,512,2,131072,704,8
20833.62,6.97,82395,2277,262148,3724,47,splice,discard,8,512,2,131072,7548,8
200937.50,28.16,0,0,262148,5416,0,splice,discard,8,512,2,131072,75989,8
2762.95,10.88,150718,2203,262148,2312,45,splice,discard,8,1024,2,131072,704,8
20911.62,8.57,0,0,262148,5408,0,splice,discard,8,1024,2,131072,7548,8
200836.25,45.65,0,0,262148,5408,0,splice,discard,8,1024,2,131072,75989,8
2711.30,7.18,218024,1342,262148,948,29,splice,discard,16,128,2,131072,704,8
20723.88,10.99,204988,1011,262148,1225,21,splice,discard,16,128,2,131072,7548,8
200922.50,62.28,0,0,262148,5520,0,splice,discard,16,128,2,131072,75989,8
2742.61,6.29,179119,861,262148,1748,19,splice,discard,16,256,2,131072,704,8
20761.88,6.83,163716,412,262148,2067,8,splice,discard,16,256,2,131072,7548,8
